Run ID,1625839163
Run Date/Time,2021-07-09 10:15:09
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[2],HT000904,384LDV_Plus_AQ_GP,A5,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A6,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A7,2.312,11.804,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A8,2.325,11.864,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A9,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A10,2.317,11.831,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A11,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A12,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A13,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A14,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A15,2.316,11.824,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A16,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A17,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A18,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A19,2.325,11.864,0.408,Percent,Glycerol,
