Run ID,1625839163
Run Date/Time,2021-07-09 10:15:09
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],HT000901,384LDV_Plus_AQ_GP,N3,0,0,0,Percent,Glycerol,"Data missing for well (14th row, 3th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,A23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (1th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,B23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (2th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,C23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (3th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,D23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (4th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,E23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (5th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,F23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (6th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,G23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (7th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,H23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (8th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,I23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (9th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,J23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (10th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,K23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (11th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,L23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (12th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,M23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (13th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,N23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (14th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,O23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (15th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[1],HT000901,384LDV_Plus_AQ_GP,P23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (16th row, 23th column), defaulting to 0.0 value of Glycerol"

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],HT000901,384LDV_Plus_AQ_GP,A1,2.343,11.945,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A2,2.332,11.898,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A3,2.342,11.941,0.628,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A4,2.364,12.038,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A5,2.352,11.985,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A6,2.359,12.018,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A7,2.349,11.971,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A8,2.362,12.032,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A9,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A10,2.349,11.971,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A11,2.331,11.891,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A12,2.349,11.971,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A13,2.335,11.911,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A14,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A15,2.323,11.858,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A16,2.34,11.931,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A17,2.353,11.991,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A18,2.334,11.904,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A19,2.326,11.871,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A20,2.326,11.871,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A21,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,A22,2.334,11.904,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B1,2.361,12.025,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B2,2.353,11.991,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B3,2.358,12.012,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B4,2.365,12.045,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B5,2.359,12.018,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B6,2.366,12.052,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B7,2.362,12.032,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B8,2.362,12.032,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B9,2.343,11.945,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B10,2.328,11.878,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B11,2.337,11.918,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B12,2.343,11.945,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B13,2.344,11.951,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B14,2.252,11.537,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B15,2.338,11.925,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B16,2.334,11.904,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B17,2.347,11.965,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B18,2.34,11.931,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B19,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B20,2.32,11.844,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B21,2.313,11.811,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,B22,2.338,11.925,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C1,2.368,12.058,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C2,2.346,11.958,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C3,2.372,12.078,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C4,2.351,11.981,0.483,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C5,2.344,11.951,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C6,2.352,11.985,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C7,2.364,12.038,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C8,2.356,12.005,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C9,2.353,11.991,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C10,2.355,11.998,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C11,2.343,11.945,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C12,2.329,11.884,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C13,2.331,11.891,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C14,2.331,11.891,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C15,2.332,11.898,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C16,2.329,11.884,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C17,2.31,11.797,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C18,2.32,11.844,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C19,2.329,11.884,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C20,2.335,11.911,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C21,2.322,11.851,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,C22,2.27,11.617,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D1,2.368,12.058,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D2,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D3,2.344,11.951,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D4,2.353,11.991,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D5,2.266,11.597,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D6,2.358,12.012,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D7,2.375,12.092,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D8,2.338,11.925,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D9,2.356,12.005,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D10,2.365,12.045,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D11,2.369,12.065,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D12,2.329,11.884,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D13,2.341,11.938,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D14,2.328,11.878,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D15,2.34,11.931,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D16,2.34,11.931,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D17,2.315,11.818,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D18,2.316,11.824,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D19,2.331,11.891,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D20,2.317,11.831,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D21,2.315,11.818,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,D22,2.328,11.878,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,E1,2.361,12.025,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,E2,2.356,12.005,0.408,Percent,Glycerol,
Source[1],HT000901,384LDV_Plus_AQ_GP,E3,2.328,11.878,0.408,Percent,Glycerol,
