Run ID,1625839163
Run Date/Time,2021-07-09 10:15:09
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[3],HT000907,384LDV_Plus_AQ_GP,A23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (1th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,B23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (2th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,C23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (3th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,D23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (4th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,E23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (5th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,F23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (6th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,G23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (7th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,H23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (8th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,I23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (9th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,J23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (10th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,K23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (11th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,L23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (12th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,M23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (13th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,N23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (14th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,O23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (15th row, 23th column), defaulting to 0.0 value of Glycerol"
Source[3],HT000907,384LDV_Plus_AQ_GP,P23,0,0,0,Percent,Glycerol,"Data missing on PADDED well (16th row, 23th column), defaulting to 0.0 value of Glycerol"

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[3],HT000907,384LDV_Plus_AQ_GP,A1,2.396,12.185,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A2,2.377,12.098,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A3,2.373,12.085,0.697,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A4,2.282,11.67,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A5,2.402,12.212,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A6,2.353,11.991,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A7,2.377,12.098,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A8,2.392,12.165,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A9,2.387,12.145,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A10,2.399,12.199,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A11,2.381,12.119,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A12,2.377,12.098,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A13,2.38,12.112,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A14,2.389,12.152,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A15,2.369,12.065,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A16,2.361,12.025,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A17,2.377,12.098,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A18,2.381,12.119,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A19,2.362,12.032,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A20,2.365,12.045,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A21,2.369,12.065,0.408,Percent,Glycerol,
Source[3],HT000907,384LDV_Plus_AQ_GP,A22,2.395,12.179,0.408,Percent,Glycerol,
