Lot Number,Plate ID,Plate Name
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TB,Hm Kinase siRNA Lib V4-A1-1
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TC,Hm Kinase siRNA Lib V4-A1-2
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TD,Hm Kinase siRNA Lib V4-A1-3
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TE,Hm Kinase siRNA Lib V4-A1-4
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TF,Hm Kinase siRNA Lib V4-A2-1
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TG,Hm Kinase siRNA Lib V4-A2-2
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TH,Hm Kinase siRNA Lib V4-A2-3
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TI,Hm Kinase siRNA Lib V4-A2-4
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TJ,Hm Kinase siRNA Lib V4-A3-1
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TK,Hm Kinase siRNA Lib V4-B1-1
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TL,Hm Kinase siRNA Lib V4-B1-2
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TM,Hm Kinase siRNA Lib V4-B1-3
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TN,Hm Kinase siRNA Lib V4-B1-4
4397918-AMO217T1-Si Sel Hm Kinase-01,CPF208TO,Hm Kinase siRNA Lib V4-B2-1
