plate_index,well_index,row,column,nuclei_n,nuclei_area,nuclei_round,nuclei_mean_edu,nuclei_H2AX_spots_per_nucleus,nuclei_mean_edu_pos,spots_edu_pos_n,spots_edu_pos_median_ratio
HT001059,A1,1,1,531,239.032093534,0.865640355405,528.762310891,64.7325800377,0.463276836158,18919,0.9564193168430001
HT001059,A2,1,2,476,285.003297298,0.848585017032,526.009733321,74.6953781513,0.460084033613,17854,0.9511802963420001
HT001059,A3,1,3,368,291.752355261,0.877998003549,654.325757072,75.6875,0.494565217391,15127,0.9458114066280002
HT001059,A4,1,4,463,273.088786147,0.848618998992,421.420032234,58.1727861771,0.36717062635,12761,0.952431289641
HT001059,A5,1,5,385,287.593585678,0.857968998068,517.734527952,64.3298701299,0.41038961039,12059,0.9504054115610001
HT001059,A6,1,6,610,250.124021061,0.854138181308,808.74028504,62.2524590164,0.550819672131,23456,0.955380443317
HT001059,A7,1,7,144,266.329932967,0.843089142808,415.719006653,60.9513888889,0.472222222222,4333,0.9536257383440002
HT001059,A8,1,8,357,285.697807151,0.823318569535,316.849819998,71.9943977591,0.350140056022,10748,0.937340110947
HT001059,A9,1,9,641,247.059310106,0.830735310489,480.424017615,67.5413416537,0.372854914197,20011,0.9375975481709999
HT001059,A10,1,10,442,282.800635212,0.850343782149,514.137673645,68.8325791855,0.404977375566,14893,0.9517966695880001
HT001059,A11,1,11,568,252.0111462,0.864390343636,462.682922514,62.9172535211,0.378521126761,15975,0.947256259989
HT001059,A12,1,12,379,316.203564387,0.831662283752,271.032103489,76.3139841689,0.263852242744,9787,0.952756549103
HT001059,A13,1,13,438,266.723515823,0.858857703011,435.365919201,63.6506849315,0.493150684932,15595,0.9365482233500001
HT001059,A14,1,14,322,338.339436033,0.863420663659,414.732779638,84.8881987578,0.428571428571,12615,0.9316546762590002
HT001059,A15,1,15,343,323.431551263,0.823794606761,404.002535474,82.7376093294,0.3527696793,12399,0.943513175693
HT001059,A16,1,16,226,290.66462881,0.822672581917,108.845826134,69.1814159292,0.115044247788,1999,0.9375137675309999
HT001059,A17,1,17,245,364.09339881,0.824148859319,94.5454607295,77.3142857143,0.2,4081,0.9539052496800001
HT001059,A18,1,18,283,308.357030084,0.839765540815,565.347185124,66.4487632509,0.56890459364,11731,0.9499694935940002
HT001059,A19,1,19,477,260.697139384,0.84899264634,443.086525634,68.1865828092,0.35429769392,13725,0.9384228371430001
HT001059,A20,1,20,444,289.423654592,0.865205549222,523.764379482,78.509009009,0.502252252252,19353,0.9459321384480001
HT001059,A21,1,21,627,246.902209153,0.854154715607,570.371949633,58.5326953748,0.408293460925,18466,0.9420294980520001
HT001059,A22,1,22,531,253.290076114,0.834384828554,471.023613203,60.4161958569,0.412429378531,17202,0.9469479735780002
HT001059,A23,1,23,638,251.710702935,0.828964335125,592.773497559,64.4231974922,0.487460815047,22235,0.9420482401150001
HT001059,A24,1,24,555,272.011378629,0.838778348581,570.66787476,74.4396396396,0.414414414414,20218,0.9874630275919999
HT001059,B1,2,1,628,246.463397802,0.84232862713,492.178559572,66.9681528662,0.418789808917,20707,0.950177883841
HT001059,B2,2,2,452,282.322305033,0.854357281416,509.18393036,73.657079646,0.466814159292,17647,0.9492162103590001
HT001059,B3,2,3,356,289.474081617,0.834627135197,518.83776246,74.3764044944,0.494382022472,15185,0.9499079739340001
HT001059,B4,2,4,379,245.063377309,0.850569206165,442.489435141,58.0079155673,0.382585751979,10462,0.955147363821
HT001059,B5,2,5,298,285.156151193,0.849638022324,471.648776065,67.4630872483,0.506711409396,10854,0.9585494735380002
HT001059,B6,2,6,501,248.456517521,0.868667386893,627.57240457,63.5508982036,0.447105788423,17716,0.9609346038809999
HT001059,B7,2,7,473,268.594400546,0.870952126997,367.787327756,70.2410147992,0.348837209302,13756,0.9365968365540002
HT001059,B8,2,8,590,253.350135829,0.855823170302,465.77540821,68.7050847458,0.433898305085,20267,0.938510955604
HT001059,B9,2,9,746,228.496246742,0.868349159708,493.396011611,70.2828418231,0.422252010724,26719,0.943197955126
HT001059,B10,2,10,573,257.860549011,0.854412716286,748.051759967,72.9127399651,0.511343804538,24776,0.9548574383140002
HT001059,B11,2,11,283,290.566785925,0.861328695975,366.129390442,75.4346289753,0.459363957597,10680,0.95387020986
HT001059,B12,2,12,595,265.562690593,0.839791552939,502.742118387,71.2756302521,0.416806722689,21200,0.9462755455930001
HT001059,B13,2,13,576,264.387545452,0.852782643851,545.907978553,65.4045138889,0.461805555556,19611,0.949065255732
HT001059,B14,2,14,149,221.451279828,0.802915432021,118.932957937,49.5033557047,0.10067114094,1230,0.957226048894
HT001059,B15,2,15,454,285.088311766,0.85637950627,564.114684414,76.1057268722,0.544052863436,20366,0.9461487823730002
HT001059,B16,2,16,568,253.308750978,0.851759937299,561.056461054,69.8943661972,0.420774647887,19845,0.9526462395540002
