plate_index,well_index,row,column,nuclei_n,nuclei_area,nuclei_round,nuclei_mean_edu,nuclei_H2AX_spots_per_nucleus,nuclei_mean_edu_pos,spots_edu_pos_n,spots_edu_pos_median_ratio
HTIF00296,A1,1,1,281,285.75701463,0.888186399124,216.499575926,44.6441281139,0.444839857651,6244,0.946592282893
HTIF00296,A2,1,2,69,252.32502818,0.899657229873,49.9574773699,30.7971014493,0.0434782608696,152,0.930116977098
HTIF00296,A3,1,3,186,339.924217443,0.912276707193,222.279242883,51.6397849462,0.403225806452,4098,0.961662075688
HTIF00296,A4,1,4,56,358.911235119,0.878471290769,52.0462166911,46.6964285714,0.0714285714286,362,0.94261591448000015
HTIF00296,A5,1,5,135,278.806880658,0.918468214999,267.165439199,48.8666666667,0.42962962963,3173,0.957042358928
HTIF00296,A6,1,6,158,284.516016174,0.914466624936,143.205783583,41.4873417722,0.23417721519,1772,0.935938137945
HTIF00296,A7,1,7,157,320.905345011,0.902746473398,256.295557279,34.923566879,0.356687898089,2149,0.940399587281
HTIF00296,A8,1,8,40,298.837770833,0.832601977868,50.7991387391,28.725,0.1,31,0.9300998573470002
HTIF00296,A9,1,9,337,316.109819486,0.912499549082,310.8004025,41.9347181009,0.59940652819,8992,0.9479748164470002
HTIF00296,A10,1,10,39,280.057314815,0.863084346773,73.3306443333,33.4871794872,0.153846153846,228,0.940005371637
HTIF00296,A11,1,11,164,309.406825881,0.912511135314,214.906170752,49.6280487805,0.371951219512,3559,0.948596478823
HTIF00296,A12,1,12,60,276.379157407,0.830670486196,46.1496485667,23.8,0.0333333333333,41,0.9587873045950001
HTIF00296,A13,1,13,254,306.526152668,0.918829203154,301.217947808,47.2362204724,0.496062992126,6219,0.956501182033
HTIF00296,A14,1,14,246,286.349470416,0.910764862743,138.027432642,44.3983739837,0.19918699187,2611,0.9426492290470001
HTIF00296,A15,1,15,258,286.723383936,0.905198851103,219.630453782,32.1085271318,0.449612403101,3990,0.9602681676099999
HTIF00296,A16,1,16,247,288.189853801,0.882987989158,285.43482368,38.3724696356,0.538461538462,5604,0.947200527944
HTIF00296,A17,1,17,242,326.502490817,0.89077896108,268.758842306,47.0495867769,0.417355371901,4948,0.9188924527650001
HTIF00296,A18,1,18,102,298.93255719,0.863968272488,67.2149073645,32.0490196078,0.107843137255,389,0.9623265036349999
HTIF00296,A19,1,19,161,298.741906487,0.921371257926,211.560182644,53.3850931677,0.453416149068,4035,0.967907032755
HTIF00296,A20,1,20,78,291.650787037,0.842560573085,49.8656069831,32.8333333333,0.0512820512821,233,0.9651571898759997
HTIF00296,A21,1,21,241,308.712705164,0.8999485061,189.455343447,54.8257261411,0.377593360996,5545,0.9702645750409998
HTIF00296,A22,1,22,213,252.625026082,0.920443899724,267.805457162,39.0751173709,0.389671361502,3810,0.963840255893
HTIF00296,A23,1,23,279,318.804265233,0.898314711163,209.818722501,44.8709677419,0.462365591398,6296,0.947342152307
HTIF00296,A24,1,24,298,284.016094333,0.917964695755,203.807454178,41.6375838926,0.43288590604,6226,0.9579377997069999
HTIF00296,B1,2,1,369,299.401489009,0.907758343546,202.624940756,50.6260162602,0.49864498645,10452,0.96001451291
HTIF00296,B2,2,2,176,320.360625,0.918443300398,162.032057471,59.2784090909,0.426136363636,4712,0.9453675897139998
HTIF00296,B3,2,3,279,285.130796495,0.921141171203,299.290799739,47.9426523297,0.494623655914,7327,0.9778217369800001
HTIF00296,B4,2,4,120,325.325391204,0.883281040284,231.204561885,53.8083333333,0.416666666667,2877,0.980054397099
HTIF00296,B5,2,5,138,323.100241546,0.851616291476,160.479213428,47.5289855072,0.420289855072,2949,0.9576071596800001
HTIF00296,B6,2,6,135,313.60940535,0.88838297003,118.101100246,53.1925925926,0.266666666667,2064,0.945008116747
HTIF00296,B7,2,7,131,357.91196989,0.908340081654,162.699577737,60.8320610687,0.358778625954,2829,0.960573476703
HTIF00296,B8,2,8,250,272.283411111,0.915593532524,180.504342492,49.188,0.52,7031,0.961141950833
HTIF00296,B9,2,9,376,307.747801418,0.901533625397,181.971107664,34.6356382979,0.433510638298,6345,0.9187338501290001
HTIF00296,B10,2,10,165,304.699318182,0.885411621907,159.159536607,39.4606060606,0.412121212121,2697,0.9650665996479999
HTIF00296,B11,2,11,207,288.423718465,0.900585289656,180.994366108,38.1594202899,0.415458937198,3578,0.9440146887299999
HTIF00296,B12,2,12,182,340.923194444,0.901587181884,199.198527883,41.7197802198,0.456043956044,3704,0.9506418716890003
HTIF00296,B13,2,13,167,356.405595476,0.885294338916,147.865445659,37.4011976048,0.37125748503,2331,0.969609261939
HTIF00296,B14,2,14,238,303.824247199,0.888660621708,220.315521053,38.1050420168,0.478991596639,4692,0.9470822142800001
HTIF00296,B15,2,15,252,278.181227954,0.889197135294,134.608902141,33.5,0.313492063492,2713,0.931871574002
HTIF00296,B16,2,16,243,282.516109968,0.909101936954,196.170136089,35.9176954733,0.399176954733,3497,0.9379356123460002
HTIF00296,B17,2,17,413,278.975715631,0.908344751002,188.511439616,42.1598062954,0.476997578692,9270,0.944286014808
HTIF00296,B18,2,18,256,303.362518446,0.904356847013,152.340706496,46.6015625,0.44921875,5648,0.9767811287319998
HTIF00296,B19,2,19,366,280.187403613,0.920519469283,242.932078868,47.5628415301,0.428961748634,8391,0.9595161688469998
HTIF00296,B20,2,20,262,274.978337574,0.874244430881,201.392442474,43.4885496183,0.454198473282,5773,0.946399566865
