Run ID,1640007333
Run Date/Time,2021-12-20 08:52:39
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,211220_Add_siRNA_Controls_HuKinase.epr
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_Plus_AQ_GP,F18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,L23,0,0,,,150,150,11.935,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,E18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,J23,0,0,,,150,150,12.074,0.65,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,B18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,K23,0,0,,,150,150,11.975,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,A18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,I23,0,0,,,150,150,12.022,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,C18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,M23,0,0,,,150,150,11.868,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,D18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,O23,0,0,,,150,150,11.855,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,H18,Destination[1]-01,HT001059,384PP_PerkinElmer_CellCarrier_Ultra_Dest,H23,0,0,,,150,150,11.841,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,A18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,A23,0,0,,,150,150,11.848,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,B18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,C23,0,0,,,150,150,11.815,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,C18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,E23,0,0,,,150,150,11.721,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,D18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,G23,0,0,,,150,150,11.694,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,G18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,F23,0,0,,,150,150,11.661,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,F18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,D23,0,0,,,150,150,11.734,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,E18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,B23,0,0,,,150,150,11.846,0.65,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,I18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,A24,0,0,,,150,150,11.627,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,J18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,C24,0,0,,,150,150,11.647,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,K18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,E24,0,0,,,150,150,11.768,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,L18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,G24,0,0,,,150,150,11.688,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,I18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,I24,0,0,,,150,150,11.5,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,J18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,K24,0,0,,,150,150,11.453,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,K18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,M24,0,0,,,150,150,11.574,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,L18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,O24,0,0,,,150,150,11.567,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,H18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,P23,0,0,,,150,150,11.661,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,G18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,N23,0,0,,,150,150,11.474,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,F18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,L23,0,0,,,150,150,11.614,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,E18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,J23,0,0,,,150,150,11.745,0.65,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,B18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,K23,0,0,,,150,150,11.668,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,A18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,I23,0,0,,,150,150,11.701,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,C18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,M23,0,0,,,150,150,11.561,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,D18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,O23,0,0,,,150,150,11.561,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,H18,Destination[1]-02,,384PP_PerkinElmer_CellCarrier_Ultra_Dest,H23,0,0,,,150,150,11.54,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,A18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,A23,0,0,,,150,150,11.534,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,B18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,C23,0,0,,,150,150,11.48,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,C18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,E23,0,0,,,150,150,11.373,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,D18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,G23,0,0,,,150,150,11.36,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,G18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,F23,0,0,,,150,150,11.293,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,F18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,D23,0,0,,,150,150,11.387,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,E18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,B23,0,0,,,150,150,11.497,0.65,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,I18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,A24,0,0,,,150,150,11.266,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,J18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,C24,0,0,,,150,150,11.28,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,K18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,E24,0,0,,,150,150,11.387,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,L18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,G24,0,0,,,150,150,11.28,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,I18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,I24,0,0,,,150,150,11.152,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,J18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,K24,0,0,,,150,150,11.089,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,K18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,M24,0,0,,,150,150,11.26,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,L18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,O24,0,0,,,150,150,11.152,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,H18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,P23,0,0,,,150,150,11.32,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,G18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,N23,0,0,,,150,150,11.186,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,F18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,L23,0,0,,,150,150,11.219,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,E18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,J23,0,0,,,150,150,11.315,0.65,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,B18,Destination[1]-03,HT001061,384PP_PerkinElmer_CellCarrier_Ultra_Dest,K23,0,0,,,150,150,11.34,0.408,Percent,Glycerol,
