Run ID,1640009218
Run Date/Time,2021-12-20 09:24:05
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],HT000416,384LDV_Plus_AQ_GP,A1,2.095,10.802,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A2,2.146,11.043,0.667,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A3,2.123,10.934,1.844,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A4,2.153,11.08,0.508,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A5,2.138,11.007,0.65,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A6,2.147,11.05,1.493,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A7,2.129,10.964,0.835,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A8,2.116,10.9,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A9,2.141,11.02,0.605,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A10,2.145,11.04,0.773,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A11,2.143,11.03,0.888,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A12,2.129,10.964,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A13,2.135,10.992,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A14,2.132,10.976,0.984,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A15,2.121,10.929,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A16,2.087,10.766,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A17,2.12,10.922,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A18,2.074,10.703,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A19,2.144,11.034,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A20,2.13,10.971,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A21,2.117,10.908,0.635,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,A22,2.107,10.858,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B1,2.14,11.015,0.459,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B2,2.135,10.992,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B3,2.129,10.962,1.419,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B4,2.167,11.147,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B5,2.145,11.042,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B6,2.154,11.084,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B7,2.078,10.719,0.926,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B8,2.144,11.034,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B9,2.147,11.049,0.829,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B10,2.146,11.045,0.498,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B11,2.135,10.992,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B12,2.145,11.042,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B13,2.127,10.957,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B14,2.11,10.872,0.414,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B15,2.147,11.05,0.44,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B16,2.162,11.122,0.703,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B17,2.139,11.01,0.736,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B18,2.126,10.95,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B19,2.115,10.896,0.495,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B20,2.128,10.959,1.11,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B21,2.116,10.9,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,B22,2.071,10.689,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C1,2.152,11.073,0.707,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C2,2.15,11.063,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C3,2.118,10.915,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C4,2.159,11.106,1.045,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C5,2.147,11.049,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C6,2.135,10.992,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C7,2.163,11.126,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C8,2.142,11.027,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C9,2.154,11.081,0.746,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C10,2.159,11.105,0.408,Percent,Glycerol,
Source[1],HT000416,384LDV_Plus_AQ_GP,C11,2.157,11.095,0.529,Percent,Glycerol,
