Run ID,1640009218
Run Date/Time,2021-12-20 09:24:05
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[2],HT000419,384LDV_Plus_AQ_GP,A1,2.086,10.759,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A2,2.098,10.81,2.873,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A3,2.095,10.798,1.622,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A4,2.102,10.833,0.958,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A5,2.098,10.816,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A6,2.098,10.813,0.99,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A7,2.1,10.824,0.872,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A8,2.08,10.731,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A9,2.071,10.689,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A10,2.093,10.795,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A11,2.092,10.788,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A12,2.088,10.766,0.843,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A13,2.09,10.78,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A14,2.084,10.747,0.909,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A15,2.08,10.731,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A16,2.08,10.73,0.834,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A17,2.087,10.766,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A18,2.058,10.623,1.269,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A19,2.096,10.809,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A20,2.086,10.759,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A21,2.065,10.66,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,A22,2.056,10.618,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B1,2.117,10.906,0.995,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B2,2.116,10.902,0.459,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B3,2.101,10.829,0.617,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B4,2.134,10.989,0.742,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B5,2.111,10.879,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B6,2.084,10.752,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B7,2.082,10.737,1.042,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B8,2.108,10.865,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B9,2.059,10.633,0.449,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B10,2.107,10.858,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B11,2.1,10.828,0.564,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B12,2.089,10.775,0.469,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B13,2.059,10.632,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B14,2.074,10.703,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B15,2.081,10.739,0.425,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B16,2.081,10.734,0.968,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B17,2.108,10.859,1.541,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B18,2.089,10.773,0.841,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B19,2.085,10.755,0.716,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B20,2.091,10.781,1.095,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B21,2.102,10.834,0.762,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,B22,2.093,10.79,0.917,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C1,2.123,10.936,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C2,2.111,10.877,0.765,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C3,2.083,10.748,0.491,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C4,2.105,10.85,0.601,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C5,2.08,10.731,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C6,2.09,10.78,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C7,2.11,10.874,0.692,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C8,2.116,10.902,0.682,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C9,2.117,10.907,0.82,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C10,2.113,10.886,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C11,2.092,10.785,1.008,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C12,2.093,10.795,0.416,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C13,2.092,10.789,0.682,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C14,2.091,10.784,0.506,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C15,2.098,10.818,0.49,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C16,2.109,10.867,0.674,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C17,2.132,10.976,0.768,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C18,2.096,10.809,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C19,2.119,10.914,0.837,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C20,2.111,10.879,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C21,2.112,10.885,0.572,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,C22,2.107,10.858,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D1,2.101,10.83,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D2,2.12,10.919,0.555,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D3,2.135,10.992,0.83,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D4,2.136,10.999,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D5,2.129,10.966,0.689,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D6,2.099,10.823,0.624,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D7,2.13,10.971,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D8,2.106,10.853,1.115,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D9,2.116,10.901,0.429,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D10,2.103,10.84,0.491,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D11,2.119,10.919,0.537,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D12,2.091,10.782,0.46,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D13,2.093,10.791,1.2,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D14,2.131,10.974,0.722,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D15,2.102,10.837,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D16,2.118,10.913,0.574,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D17,2.129,10.964,0.844,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D18,2.075,10.71,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D19,2.133,10.985,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D20,2.093,10.795,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D21,2.066,10.661,1.126,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,D22,2.08,10.727,1.187,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E1,2.121,10.929,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E2,2.118,10.91,0.708,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E3,2.111,10.879,1.039,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E4,2.108,10.865,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E5,2.081,10.737,0.594,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E6,2.114,10.893,0.833,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E7,2.122,10.928,1.041,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E8,2.096,10.809,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E9,2.142,11.027,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E10,2.113,10.888,0.468,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E11,2.105,10.851,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E12,2.113,10.886,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E13,2.113,10.886,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E14,2.123,10.936,0.408,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E15,2.104,10.843,1.051,Percent,Glycerol,
Source[2],HT000419,384LDV_Plus_AQ_GP,E16,2.118,10.911,1.17,Percent,Glycerol,
