Run ID,1640009218
Run Date/Time,2021-12-20 09:24:05
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[3],HT000422,384LDV_Plus_AQ_GP,A1,2.062,10.647,0.653,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A2,2.107,10.856,1.232,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A3,2.094,10.789,3.12,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A4,2.113,10.887,0.848,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A5,2.083,10.742,0.989,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A6,2.064,10.653,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A7,2.054,10.605,0.687,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A8,2.077,10.715,0.579,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A9,2.057,10.623,0.568,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A10,2.074,10.703,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A11,2.084,10.747,1.832,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A12,2.054,10.609,0.567,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A13,2.117,10.906,0.994,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A14,2.099,10.821,1.227,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A15,2.081,10.734,1.856,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A16,2.079,10.726,0.913,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A17,2.108,10.866,0.449,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A18,2.098,10.816,1.519,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A19,2.114,10.893,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A20,2.107,10.859,0.444,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A21,2.113,10.886,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,A22,2.111,10.877,0.557,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B1,2.093,10.795,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B2,2.09,10.78,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B3,2.066,10.665,0.784,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B4,2.076,10.712,0.487,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B5,2.093,10.795,0.408,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B6,2.071,10.687,0.595,Percent,Glycerol,
Source[3],HT000422,384LDV_Plus_AQ_GP,B7,2.074,10.701,1.029,Percent,Glycerol,
