ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Spots - Number of Objects	Spots - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots - Intensity Spot Border BP676/29 Mean - Median per Well	Spots - center_border_ratio - Median per Well	Spots - Spots Edu Pos - Mean per Well	Spots - Spots Edu Minus - Mean per Well	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final - Number of Spots - Mean per Well	Nuclei Final - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final - Nuclei Final Edu Pos - Mean per Well	Nuclei Final - Nuclei Final Edu Neg - Mean per Well	Nuclei Final Edu Pos - Number of Objects	Nuclei Final Edu Pos - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Pos - Nucleus Roundness - Mean per Well	Nuclei Final Edu Pos - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Pos - Number of Spots - Mean per Well	Nuclei Final Edu Pos - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Pos - center_border_ratio- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Number of Objects	Nuclei Final Edu Neg - Nucleus Area [µm²] - Mean per Well	Nuclei Final Edu Neg - Nucleus Roundness - Mean per Well	Nuclei Final Edu Neg - Intensity Nucleus BP676/29 Mean - Mean per Well	Nuclei Final Edu Neg - Number of Spots - Mean per Well	Nuclei Final Edu Neg - Number of Spots per Area of Nucleus - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot BP525/50 Sum- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Weighted Center BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - Intensity Spot Border BP676/29 Mean- Mean per Cell  - Mean per Well	Nuclei Final Edu Neg - center_border_ratio- Mean per Cell  - Mean per Well	Spots Edu Pos - Number of Objects	Spots Edu Pos - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Pos - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Pos - center_border_ratio - Median per Well	Spots Edu Minus - Number of Objects	Spots Edu Minus - Intensity Spot Weighted Center BP676/29 Mean - Median per Well	Spots Edu Minus - Intensity Spot Border BP676/29 Mean - Median per Well	Spots Edu Minus - center_border_ratio - Median per Well	Number of Analyzed Fields	Link
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A11	1	11	1	1	13814	43	40.3266666667	0.957746478873	0.377370783263	0.622629216737	322	319.508991546	0.898120532529	82.0535217437	42.900621118	0.00630459475902	844.600529429	50539.7679032	87.0083998275	86.5615608156	1.01013478592	0.304347826087	0.695652173913	98	352.568585601	0.912146491916	197.960537626	53.193877551	0.00719096384695	737.601021742	42698.2992174	207.4176348	206.738156414	1.00637231401	224	305.045419147	0.891984175298	31.3442022954	38.3973214286	0.00591680828306	892.922887739	54081.0763419	32.6300356462	32.2882595775	1.01183396678	5213	185	188.208333333	0.95865081784	8601	25	23.7391304348	0.956120092379	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.11
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A12	1	12	1	1	2279	26	24.4782608696	0.957055214724	0.0798595875384	0.920140412462	75	307.342774074	0.82544460327	37.5843363964	30.3866666667	0.00454777918062	1015.27800323	63192.4629279	38.1844442801	39.3902747173	0.998377154716	0.0533333333333	0.946666666667	4	267.559861111	0.938635651627	227.223710827	45.5	0.00801306281886	1001.12759487	58666.7226094	223.343717882	233.779566501	0.970094767844	71	309.584064945	0.819067642799	26.9004279777	29.5352112676	0.0043525519334	1016.12280373	63462.6563797	27.1301592889	27.7849438645	1.00006565542	182	203.5	212.836309524	0.917680344938	2097	24	23.9615384615	0.965517241379	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.12
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A13	1	13	1	1	11523	35	27.3181818182	0.954108271503	0.350082443808	0.649917556192	298	297.753488069	0.886953916292	89.8327684335	38.6677852349	0.00604394389972	1048.6135664	64643.3981722	95.7400904102	96.7444328252	1.00696077508	0.318791946309	0.681208053691	95	317.583614035	0.895033987845	225.202467012	42.4631578947	0.00626771708133	819.425549295	50262.9532186	241.068049679	244.706859072	0.986476948404	203	288.473379858	0.883172602018	26.4824168821	36.8916256158	0.00593922246006	1156.40001009	71406.4787197	27.3927828333	27.1581432538	1.01659425792	4034	219	229.633971292	0.949312636166	7489	23	22.4814814815	0.957894736842	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.13
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A14	1	14	1	1	9042	23	22.08	0.964912280702	0.0828356558284	0.917164344172	192	311.554140625	0.877383352872	34.3593518072	47.09375	0.00696042339335	927.126033031	55678.3483942	34.656886148	34.9908399289	0.999572416072	0.0677083333333	0.932291666667	13	307.587222222	0.911484241883	179.882046147	57.6153846154	0.00881530441758	725.556380532	38662.2204099	184.458721331	186.017622433	0.983851834433	179	311.842240844	0.874906751994	23.7906645088	46.3296089385	0.00682571136365	941.847412146	56921.0993144	23.7163026796	23.9607940157	1.00072054844	749	161	168.166666667	0.937074148297	8293	22	21.64	0.967741935484	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.14
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A15	1	15	1	1	14570	37	28.2188995215	0.967061095662	0.38853809197	0.61146190803	359	279.536513463	0.896536257494	92.8739585798	40.5849582173	0.00676389281431	772.569298945	45612.2133112	99.6979938315	97.8334743072	1.01517271446	0.33704735376	0.66295264624	121	302.624063361	0.909044540143	218.562563388	46.7851239669	0.00728167153474	635.432638647	35634.5868434	236.107656225	229.93703751	1.03121071217	238	267.79872549	0.890177004551	28.9734494127	37.4327731092	0.00650065237241	842.880891725	50727.8607799	29.7591415029	30.1024101227	1.00694984274	5661	211	214.28	0.972114639814	8909	23	21.7058823529	0.96203748198	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.15
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A16	1	16	1	1	18640	46	49.0984615385	0.961033721292	0.44313304721	0.55686695279	410	292.733075203	0.877610296586	103.562980284	45.4634146341	0.00710562305404	765.847122014	44507.9370782	108.097381306	106.819652238	1.01370722947	0.358536585366	0.641463414634	147	323.12851096	0.89404032922	236.312232411	56.1904761905	0.00817522086468	550.922586402	29343.4236233	247.599014024	244.095838521	1.0186986477	263	275.743991339	0.868426970361	29.3647290941	39.4676806084	0.00650778701538	885.97604496	52983.9198838	30.1249858326	30.0911374709	1.01091734931	8260	220	225.751304348	0.961768763499	10380	23	21.7692307692	0.958724046706	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.16
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A17	1	17	1	1	18843	28	22.9090909091	0.949771689498	0.264023775407	0.735976224593	425	277.937289542	0.869098624276	65.2500524549	44.3364705882	0.00727494126849	1076.15551478	64519.7963117	67.0402561741	67.6510195887	1.00738325899	0.211764705882	0.788235294118	90	295.680626543	0.901997612837	219.69729875	55.2777777778	0.0087804609902	627.321576695	33527.8575216	227.057061484	229.204667507	0.993956217061	335	273.170422886	0.860260090036	23.7567624055	41.3970149254	0.00687047328356	1197.46198453	72895.9959847	23.7924709553	23.9878715027	1.01101218925	4975	196	206.551724138	0.933780160858	13868	21	20.88	0.961636577708	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.17
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A18	1	18	1	1	5296	23	22.458041958	0.974645278802	0.0674093655589	0.932590634441	129	310.507295435	0.833797543772	34.5993777233	41.0542635659	0.00595396223297	1083.97474207	63236.8645481	35.5771104449	35.5228446499	1.01061040164	0.062015503876	0.937984496124	8	309.803993056	0.908239692961	214.950224748	44.625	0.00665163331207	593.451625842	35060.3396072	221.379866531	216.917511845	1.04345346577	121	310.553794766	0.828875748784	22.6753547795	40.8181818182	0.00590783521948	1117.51478421	65163.464544	22.8726484903	23.1197904827	1.00836472204	357	210	221.583333333	0.987578757876	4939	22	22.1111111111	0.971962616822	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.18
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A19	1	19	1	1	19351	59	69.3703703704	0.965034965035	0.474755826572	0.525244173428	402	284.069591625	0.905252529334	117.102474531	48.1368159204	0.00775470865411	883.94394205	51131.9389426	124.376692374	120.931592951	1.03967407229	0.402985074627	0.597014925373	162	309.612520576	0.914928130436	250.720867736	56.7098765432	0.00851869111797	702.90112734	38219.7461854	265.998492494	258.62364692	1.0443307736	240	266.828114583	0.898721498589	26.9100591181	42.35	0.007239020491	1006.65915537	59884.1365436	28.3819994051	27.6005772897	1.03651764713	9187	240	246.4	0.964105895728	10164	22	21.2	0.968680399285	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.19
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A20	1	20	1	1	2613	24	22.8076923077	0.985422740525	0.0987370838117	0.901262916188	84	324.286633598	0.815620648195	34.4644991124	31.1071428571	0.00430281590829	690.204464996	41949.8510905	36.7212904829	36.4274776773	1.00526481521	0.0714285714286	0.928571428571	6	269.062083333	0.870126354774	172.403579058	43	0.00762219077553	985.540453731	59704.4889866	188.299791324	182.362312548	1.04366985788	78	328.534675926	0.811427901535	23.853800655	30.1923076923	0.00404747938004	665.593132601	40470.2979325	24.0897487462	24.2662414381	1.00206439499	258	164	165.697478992	1.00195228509	2355	22	22.28	0.980327868852	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.20
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A21	1	21	1	1	13796	41	36.2967032967	0.979591836735	0.393229921716	0.606770078284	267	312.72261444	0.874825745265	96.0074457039	51.670411985	0.0075048132132	900.437190753	52232.2647625	104.60520162	101.76559477	1.02656517414	0.333333333333	0.666666666667	89	328.973480025	0.887159043089	228.584357431	60.9550561798	0.00850995883296	742.236651323	40822.4964437	247.979657839	240.204125844	1.03855389709	178	304.597181648	0.868659096353	29.7189898403	47.0280898876	0.00700224040332	981.355857473	58068.2956843	31.2699912551	30.9550817501	1.02043301125	5425	211	218.074074074	0.980778173927	8371	23	21.4285714286	0.977011494253	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.21
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A22	1	22	1	1	17965	31	23.8928571429	0.962692026335	0.343000278319	0.656999721681	383	280.498326081	0.911111188613	96.2254144437	46.9060052219	0.00782737215619	1005.85667198	57974.1344752	101.601594076	99.4640161479	1.02141247421	0.284595300261	0.715404699739	109	305.796972477	0.930718242126	276.478101508	56.5321100917	0.00872576938569	678.997103682	36299.2805269	293.622689169	285.898639634	1.04271597631	274	270.434266018	0.903311302361	24.5190535312	43.0766423358	0.00746998055759	1136.84083721	66660.0134472	24.6519640578	24.7530824715	1.01287540902	6162	264	273.1225	0.968633916268	11803	21	20.4642857143	0.958415841584	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.22
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A23	1	23	1	1	21973	35	26.3913043478	0.972299168975	0.367815045738	0.632184954262	446	292.845023044	0.877173072369	92.3148610126	49.2668161435	0.00782370680703	914.936759372	52618.2955957	98.287645544	95.5191962415	1.02867526299	0.307174887892	0.692825112108	137	324.743505677	0.893189822497	239.055951579	58.9927007299	0.00851441318201	676.169544056	36586.9518368	255.650450594	247.693646335	1.04128294884	309	278.702330097	0.870071794804	27.2548952922	44.9546925566	0.0075174712945	1021.14165709	59749.1205794	28.2918523885	27.8312103231	1.02306729883	8082	224	222.755952381	0.983878896754	13891	22	20.8928571429	0.96	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.23
210824-DDR-Screen-Batch2	7456	HTIF00302	7606	2021-08-24T20:21:46Z	7656	A24	1	24	1	1	21261	41	29.6666666667	0.963021243116	0.444616904191	0.555383095809	482	287.169003573	0.906491604448	144.938014985	44.1099585062	0.00706214261175	927.488433278	55079.3607879	153.240545423	151.577225645	1.02397977618	0.396265560166	0.603734439834	191	303.792001163	0.928934588682	329.151423115	49.4921465969	0.00768815500377	700.276971477	39329.8355583	348.136034389	344.014632957	1.02231473957	291	276.258376289	0.89176098593	24.0281835323	40.5773195876	0.00665125475308	1077.65240976	65488.2165625	24.4341842026	24.3954097398	1.02508019831	9453	315	329.923076923	0.960831889081	11808	21	20.5217391304	0.968487255876	9	http://columbus-sg.nci.nih.gov/browse/measurement/7656/well=1.24
